episode,title,summary,song_recommendation
EP11,不要讓小雞笑我們刁,,
EP11,不要讓小雞笑我們刁,,
EP12,終於有點時間練習手肘走路了,,
EP13,只會用台語數十二生肖,,
EP14,接到爆庫兒的橙箭其實不難 ,"道歉 比較晚更新  2020/6/15 14:14
看到444不會睡覺
粉絲留言該不會剛錄完吧（倫天真 還沒錄
不希望因為台通而特別來吃  爆紅之後會開始出包
沒鮮蝦便當  想開八方雲集的原因不是想開爆紅的店 有需求請私訊便當店粉絲專頁 不要特別說 才不會因為一次訂20幾個才影響
家倫是打工仔  
沒什麼好朝聖 當成三媽臭臭鍋就好（倫：你只是害羞吧
馬力歐被問有沒有聽台通 就說跑步聽了幾集
怕成為OO界的老頭
提到YT節目蝦槓   理解新東西 怕被時代拋下
高浩哲 - 被國稅局盯上（逞誠不背書 但覺得不錯）
馮光遠 夜深人未靜  訪問高浩哲   馮光遠不是跟風仔 看訪問是聽很多

越新的 粉絲越兇（善意攻擊 沒聽過先蝦挺
酸馬力歐 蹭標題 出來表揚的台通粉   
和美人聽得很有同感 五星推爆 結果只點一星 給股癌
不要狂推節目給別人 會讓人反感 自然擴散就好 因為要做很久

逞誠之前臉書好友  大中天  QQ肥宅 
先批評兩個噁男主持的父權節目  我也不知道父權的點但後面有人會點出來 太晚嗆就遜了 就像我現在講博恩就沒人理我

不喜歡 lalaland 跟水底情深 不需要幫誰背書
誰限制你的想法 制止你的思考 那就有問題的
起床氣 不爽為什麼放被規定要幾點去吃披薩

討論JOJO 看作品從設定 跟劇情 去看
機器人三大法則 艾西莫夫 
Honda機器人
硬科幻 軟科幻
異星入境 近軟科幻 （倫沒很愛
推火星任務小說
倫可以接受 設定很有趣好到一個程度 劇情普通
逞誠喜歡第五部 倫喜歡第四部
逞誠喜歡米斯達的能力 
天份的差別 會是奇犽還是爆庫兒
談獵人 貪婪之島  逞誠可以原諒富樫脫稿  提到刻劃人性 奇犽管家 梧桐 如果是尾田要畫更多話
聖鬥士星矢 北斗神拳 沒什麼設定
獵人是可以一直看一直看的漫畫  倫認為BEASTARS也是
烈火之炎 魔兵傳奇 各種漫畫的武鬥大會篇  就是拋棄了劇情 直接超糞
光速蒙面俠 對比灌籃高手 見好就收

忘記要業配 眠豆腐  第一個業配  56:00 家倫喊熱
容易腰痛 睡起來好一點 
從鐵粉裏頭找工讀生 提到 facebook 裡面有wb 不是朋友 自然流量
你記得我有講過什麼嗎 倫：你不會問wb liao 
YT的 一小時 repeat版 就是wb liao做的
致歉寵物溝通師  狗狗想出家的玩笑 新聞提野狗傷害穿山甲 破壞生態
看到留言說 可不可以把家倫換成小雞
討厭把寵物當成炫耀品  
做寵物中途的人 真的是不的
何ㄟ覺得狗歸隱山林很好笑
卡通人物設定跟逞誠很像 唐老鴨 只穿上身 有時候有襪子 但沒有內褲
 
－－－－－
電影LaLaLand 跟水底情深 異星入境 火星任務 Xman
漫畫 JOJO 海賊王 獵人 我的英雄學院 美少女戰士 七龍珠 聖鬥士星矢 北斗神拳 烈火之炎 魔兵傳奇 幽遊白書 光速蒙面俠  灌籃高手",
EP15,還剩幾集可以逃? ,"上Freddy直播 誠很怕失言 攝影機拍起來看起來很瘦、有準備問題要問 可惜沒時間（認真問國防不是虧）、倫：坐燈旁邊很熱
語重心長的回應數位諸葛亮-小簡yoyo說台通大側翼  一定是沒聽完整集，剖析「側翼」這個詞 大概從16.18年開始、基進拿便當舉例解釋
普遍覺得側翼應該是要收錢 台通目前只有收眠豆腐的錢
誠誠教各位如何解讀小簡的文章 此篇充滿伏筆，解讀一：把名字遮住就只是一般聽眾而已、解讀二：講得太含蓄了，搞不好是在打暗號求救
拿王雙的錢不要做趙雲的事 小簡的數位戰打得很爛、台通主持人太常用網路了 看到這種用很爛的受不了、
誠誠以前也很愛看知乎(改實名制很賭爛) 中國人很會做圖很好笑 難怪習近平要言論管制
小簡可能是柯粉 講的話都不像是講給藍營支持者的 一柱擎天宋慧喬比較符合
教育部的反霸凌宣導 請網紅繡綽號 數位司馬懿 
四叉貓建議小簡不要跟民進黨那套 小簡是潛入主幹當反串的側翼
王世堅的影片 送一堆東西給柯文哲 龍袍第四天才送回艮王世堅 說你一定是在家裡穿三天、誠誠看到王世堅的頭髮超痛苦 太像恰吉
小簡說誰通勤時間要1小時 怎麼聽得完（小何騎車單趟就要40分鐘了） 貼文下面變成聽友會+一堆podcast來自薦
國民黨可能只聽過dcard就錄取小簡  聽說薪水很低 對小簡溫情喊話 要加油 不要亂弄
和美基地台
試水溫 下一盤大旗 最近有一個叫做ps5的路由器、柯文哲跟黑嘉嘉誰比較會下棋
建議柯文哲趕快對口罩販賣機道歉 不然會變民眾黨的墓碑、學朱學恆跟館長 趕快道歉就好了
本集有很多選舉戰略 小簡可以多聽幾次、勇於認錯、下決定前多想幾次
國民黨2008的廣告還比較好 小簡現在就是來背黑鍋的、小簡算五星反串
什麼叫綠營側翼、確定不支持國民黨、人的立場是會改變的
王世堅最近送紅衛兵的衣服 選區選民的票很值、政治表演 小昌為什麼要大聲
可搜尋王世堅送仿「毛裝」
差點戰到台羅  誠心驚膽跳 助理揮手、台羅沒有錯 只是他們很兇、圓話-怪教育部
普通話 有些中國人字還是用得不錯  誠覺得質量這個字不錯 倫覺得還好、水準跟水平差不多、中國電影名稱都直翻 圖像明確
誠前陣子很著迷中國文化 研究中國使用網路的方式  遊戲介紹-敖厂长、跟中國交流還是不錯 只是要小心大外宣
中國愛吹支付寶 只是銀行不方便而已",
EP16,外婆在問屈原是誰？,"川普中國病毒  武漢肺炎  功夫病毒
 美國也有伸港鄉
John oliver 脫口秀說 智慧設計論  婚前失去貞操 就是被嚼過的口香糖
 發現逞誠腦波弱容易被洗
建議韓仔開脫口秀
至量沒罵逞誠 導致家倫被罵
家畜人鴨俘 小說
看TED提種族問題(通常只提黑人)優勢文化 性別問題(通常只女權)
youtube 小黃老師上課了 反骨男孩演抬棺
南方公園遊戲 難度 是膚色越深越難
甜的粽子 紅豆沙粽子 鹼粽
早期便當店豆腐 不耐放 家倫愛吃 
 家倫懂評論甜點 朋友會來店裡做蛋糕
熱會生氣胖也會生氣?
34:30 逞誠爸職業 原本是木工 貨運  工廠 貨運 板模
35:00 地圖永遠指向北邊 但捷運站不是 
0.1T的男人 硬核電玩動漫迷  四葉妹妹  
台北人叫逞誠念三角函數的台語環島  宅心仁厚  豆腐就是他們家做的  原本是鼎泰豐用的 但沒辦法提供有機黃豆
胖子減速 左手拿出 士力架 吃 對於吃的執念

提彰化玉珍齋  逞誠不喜歡吃綠豆糕等會吸乾口水的食物
小時候很愛豬血糕 在711買豬血糕請朋友吃
逞誠討厭幫別人買東西 買 買飯 麥當勞  買錯別人就不會叫你買
家倫同學都叫別人買
南北差異 差異大  彰中店「白鳥」
不用碗吃麵線糊技巧 拍拍屁股
家倫的北中南部 桃竹是中部 基隆最北南部
校車上吃蚵嗲 家倫不知道蚵嗲
59:45「火雞控肉飯」 牙籤掉地上
台北異國料理就比台灣小吃 道地
家倫喜歡 台大附近泰式料理「母女的店」
美食小撇步 好吃的滷肉飯就是吃完碗底不會留下湯汁
客家粽裡面加碎肉 有整塊就不是客家粽""                
-----
忍者龜 超人 南方公園
小說 家畜人鴨俘 大江健三郎美軍短篇小說集
youtube 小黃老師上課了
漫畫 四葉妹妹
遊戲零紅蝶        最終生還者2                                                                                        ",
EP17,拉拉柄兩次，擊發，再擊發 ,"端午節立蛋、哥倫布的雞蛋
國中就抽菸的人超壞 跟寫幹署名一樣
老鄧 純血外省人 放一堆石頭 在蘇蘇的背包
6:30 踢狗事件 腳剌狗 沒何權協會  狂踹何ㄟ都沒人理 正義魔人（SJW）
11:20 四大寬容 1. 來都來了2. 人都死了 3. 大過年的 4. 他只是個孩子 
最過分的霸凌是老師起頭
逞誠ㄒ曾經想當老師
恐龍家長
反霸凌小卡
最可怕的就是 以前吃過的苦現在也要吃
點菸給大便蹲加酒 穿錯服裝的天兵 穿內褲
軍中恐怖故事 長官檢查不要進去
希望全民都有打靶經驗 逞誠壓著新兵教打靶小撇步
50:00 何ㄟ打過火箭彈
52:00 最後一波夏日最後的回憶 折扣碼 wbliao
究極ㄋㄡ選擇 同梯
基隆滷肉飯 白胡椒加醋
逞誠濃湯 哥倫布的配方
伸港鄉的炸醬麵
豆干、紅油炒手美景 士林大道附近
糞中之糞 糞糞
下班講阿迪歐斯",
EP18,票多的會贏，冷氣吹少的會輸,"拍謝少年是錄音器材跟技術指導來源 解釋怎麼出現在專場 倫不會講台語上台驚驚
預設觀眾都不知道 拿捏內容、脫口秀很難
誠媽很怕結婚後兄弟感情不好
倫報復性玩電玩、報復性衝立院 國民黨沒衝過 紙蓮花革命
誠看A片是亂看流 主頁隨便滑能硬就好 吃粗飽、何a喜歡美腿 父權噁男、倫要挑至少1小時
何a罵誠誠不會享受人生  誠會空尻、家倫重口味 不愧是四川人 
糞中之糞 不予置評-忿忿不平
不要傳連結 算騷擾 最多分享女優名字 紳士不要看外流 但紳士很容易中毒/抽iphone
家倫有朋友可以看硬幣空尻
戒菸、跑步/運動 性生活大幅進步
問siri對黑人議題的看法
想講鬼故事但是講到A片轉不過來 倫：鬼A片 誠分享 殭屍愛愛三級片
倫分享教召 結訓沒開冷氣 熱到要生氣 誠:很適合加入國民黨
自願役簽下去一定都是被誘騙 騙人沒當過兵
誠學弟第一次打電話給女朋友都在講李毅誠的事 大家在整理裝備只有誠坐在那裏挖鼻孔
進入幹訓班要站哨  誠面對牆壁睡覺 有蚊帳 睡到一半被吹脖子三下 超不爽準備轉過去 結果沒人 忍到第三天才講 究極選擇也分享有人十指緊扣夾他腳趾頭 以為是李毅誠 因為只有他這麼北爛 
誠誠會偷幹剩下的饅頭 因為臥倒噴出來才被發現 班長笑出來、一個口袋可以塞三個",
EP19,要側！就去高雄市側！feat.側翼OG邁哥,以前開地下電台，被警察抄水表,
EP20,激情之後，去阿里山看銀河,"家倫連續重播同一首歌 唸書都聽單首重播
cosplay鋼琴家 Pan‘s piano
提到歌曲 無政府 白鷺鷥 不知道農村武裝青年有唱過
靈魂咖啡廳 生意越好越沒有靈魂
契訶夫短篇小說選
最酷的人喜歡普通的東西才酷 （哈利波特）
16:20 家倫喊熱
壞壞文青 很懂 會攻擊別人
糞糞文青 不太懂 挑艱澀作品
最酷的人喜歡通俗的東西還是酷
談呱吉、其邁與他們的差異
牛車比貨車屌 牛車理論
與阿英對談買房子 因為買了會快樂
模仿姊妹悄悄話  模仿聲音就是歧視 即將抵達戰場
開玩笑 CS香港 呱吉打圓場 
中國用語 支語 質量 被粉絲嘴

事務所  三千元以下沒有好耳機 台北市早上沒有好吃的蚵嗲
不要言論審查別人  看他原本在想什麼就好 不要扣人家性格
台灣人遭黑人欺負 呼籲回家具國
群眾活動要收尾 不是回家顧小孩 烙跑
高雄行後繞市區看景色  高雄人超愛高雄
正義之聲 柯文哲 呱吉
家倫大學有去高雄玩過 英國領事館
提台中向上市場一顆一元水餃
橋頭糖廠爬水塔

騎環島 小撇步騎在雙黃線上 有人破風 發現台灣之美 覺得台灣有靈魂 因為颱風 也沒有騎完
阿里山 身心俱疲 穿雨衣裡面塞報紙禦寒 感到台灣非常美 痛苦會過去 美會留下來 大推看神木
推薦年輕要把握機會出門  不要去做艱困的旅遊  不要當很屎尿的旅伴
大學沒有畢業旅行
家倫去石垣島度村 耍廢行程
想吃路邊的關東煮 喜歡沒有安排很齊全的旅行 看盜版的商品也有趣
跟公仔去日本 看到很酷名字的站就下去 人形町 學上班族吃可樂餅 看到櫻肉（馬肉）太貴 順道去集英社 小學館 
從原宿走到新宿 走到想偷 走都走了
wssy 畫出來就會笑了
想試用懶人桌
有收到觀眾送的冰
-----
小說   契訶夫短篇小說選                                                                                                                                ",
EP21,槍間老母或成最大贏家,"來幹來重錄 氣氣 倫想解少女前線
柯文哲搭公車 搭一萬元議題 
wbliao會不會加阿英臉書 不要太痴狂  這集折扣碼不一樣
教育電台？
三倍券 請媽媽多墊一點錢笑話
最長路線公車當約會行程
正義之聲 邱威傑 瓜田秀吉
kobo電子書 亞爾斯蘭戰紀 銀之匙 單車失竊記 天橋下的魔術師  迷霧之子
逞誠書不看完 電影不看完
女性作家的情感描繪佳
百靈果借走迷霧之子
A漫話題
冰與火之歌最後一季超糞
怕爛尾逞誠看冰與火之歌看到第三季結尾的結尾突然超展開不是蝦吹捧
大推山神 很會寫結尾
百靈果把家倫的書借走沒還書被弄丟了迷霧之子 
閱讀器能不能來看a漫 逞誠小興趣看a漫 逞誠以前都抓a圖有點恥沒男子氣概
遠離賭城 載下來是西班牙gay片
下載的影片燒錄成vcdVcd會挑片草莓牛奶
買東西要買好的不要買最便宜的不是
技術仔大學抓a片 逞誠抓a漫加倫不喜歡同人動態尻靜態尻水龍鏡？
A漫的麥香紅茶草莓百分百？透光看乳頭 湯遙莊橘子汁寫字同級生 H Game
繼承叔叔家的夜總會 星期一的豐滿 魔性之槽 家倫是一隻象龜 逞誠是柴犬 士力架我含果仁韓國人",
EP22,機智退休生活 feat. 1954年生的Michael Chou,"朋友漫畫 BLAME! 閃電怪馬 淺野一二O 異獸魔都
疫情影響燕子晚來 傘兵跳五次才結訓
賣摳周 外商銀行退ㄒㄧㄩ  賣溝皂 賣溝ㄒㄩˋ
543年代  1954. 43年
2010年底接手漫畫店 去日本廣島胡子神社抽籤 看不懂籤上的 還是照開 必買周邊耙子（象徵賺錢）
發英雄帖給前同事收灌籃高手漫畫 選書之前看PTT C-chat,girl.買賣版都看
顧客來跟老闆打氣 順便抱怨每次來都被說萬隆萬事不興隆
跟女兒感情最好的時候 是趕去日本唸書的時候  
橫山光輝 史記  星野之宣 宗像教授異考錄  去劍潭收漫畫
老婆限制你放一套漫畫 那就換一個老婆  媽媽是不能換  老婆呢 娶個喜歡看漫畫的老婆拉
廣島抽籤是為了堵老婆的嘴  順便銷工作的
土星公寓 是老闆去催出版商才出完的 催三次（六個月）張編輯
五十嵐大介 美術大的作者
顧客去催 沒有用  麥可 才有用 有問題找麥可兄處理一下
上班時把他當副業 下班當正業 退休才不會無聊 多培養自己的興趣 不要人生只有工作 
「懶懶」漫畫 上班就像史萊姆一樣 下班才是你真正的人生.
你的興趣   上班培養你的興趣  人生奉獻給公司當然不值得 每個人各種東西要嘗試 差不多差不多easy的 成績做出來  下班要規劃其他的人生
台通台通一定通 
錢齁是一定要賺拉 錢不要嫌太少  只有多到讓你很煩再嫌
最近麥可在看狼口 一個國家要怎麼獨立 是大眾的議題  講歷史不講政治 政治你們去聊 金大哥跟妹妹去瑞士留學應該有參考
帶子狼 差點被隔離的醫生借去看
漫畫店收了之後 要捐給北藝大
steal jobs
溫州街 貓朝里（？）一家店 收掉了 二手書店最多的地方 
立志做到全台最老的店長
問主持人名字 順便再次自我介紹
推廣的最高境界  做什麼要像什麼 
離得越遠親子關係越好
A型看血型用象形wwww
有好幾間房子怕什麼 外商銀行幹的啊～還有祖產唷
麥可兄會留的漫畫是 少爺的時代那一套
書錢是變動成本 選書要選的有特色 常跟年輕人接觸
路過不要錯過 錯過未來難過 萬事要興隆～",
,,,
EP23,業配,何,
,,,
EP24,騎摩托車穿拖鞋很不安全,"家倫 是 不好的東西挑出來 其次才是追求好的東西 逞誠反過來 
棉被有沙子理論 
台灣牛個性 死不買冷氣遙控器

上流社會的派對組成要素 dress code  起司（不一定有） 啤酒只佔 1/5 酒精飲料  一些洋人
呱吉直播聊蛇窩 欠一次口交
何ㄟ 板中社 高一時最佳辯士 題目廢死 侯漢廷是評審結果是侯逸廷
上流派對唯一謹慎的活動就是拍照
cheers快樂工作人 蛇窩照片 ２個月跳升台灣Podcast Top３，從開便當店到當起主持人，「台通」到底紅在哪裡
參加派對觀察人 帥哥花很多時間維持自己
台灣人也不太用制汗劑 誠只有打CS才會腋下流汗  
ASMR
27:30日本男公關 羅蘭的西裝理論 
臺北的都市規劃
29:00穿內褲到巷口買東西   東區穿拖鞋的地主理論 台北市容易進入公共空間 都市計畫 城鄉差距
36:05 逞爸對剛出獄的鄉長 你怎麼變瘦那麼多 很適合當記者 

客家人喜歡被開客家人玩笑 客家人不能請 因為學校也不會退錢給你
誰來晚餐 便當 那時期沒家倫 

先相信再開始扣分 或先保持距離再開始加分
阿英抓老鄧的翹屁股
工廠倒閉 體悟到家人的可貴 家裡沒錢 常帶同學回去 烤肉開趴
在你最不如意的時候 會落井下石的人 就不要跟他來往了 那一定不是你的朋友 
1:03:50會抱怨的都是不能解決的事情 家倫一直吵很熱

在朋友的菜園吐跟尿 
龍潭女子監獄的獄卒翻牆要求音量降低
推薦 陳奕迅落花流水 粵語歌
黃偉文作詞就是屌
南北部人認識新朋友的方式不同        

---
書 Roland：我，和我以外的        
誰來晚餐 便當        ",
EP25,台灣夾腳拖平均價格為372元 feat.法綠白話文YOYO ,"yoyo初登板 律師念書考試
東吳 英美法
公視台語台 yoyo有上過
如何請律師
海商法 -三年不開張 開張吃三年
車手不孝子理論
有遇到運古柯鹼案主
懷疑有商業用途（柯文哲 捷通月票梗）
談台灣警察踹頭 後續被表彰 檢察官會去調查  台灣跟日本的調查不同 詳細可以看日劇HERO
太大了吧！巨人族新娘 BOOK WALKER業配
爭遺產小撇步  
大學打球扭到腳 醫生：骨折你就笑不出來  沒事 
告把別人夾腳拖偷走的人
雨傘質量不滅定律
倫冰箱的食物飲料常被偷吃
孔雀捲心蘇廣告  冰夠了沒                                                                                                                                                                                        ",
EP26,我們真的需要初音來選總統嗎？feat.法綠白話文YOYO,"回伸港領$2,000
HyperX鍵盤鼠
左右手平權
左撇子加分
初音當總統
律師不能招攬業務
卷宗 法院是少數使用燒錄機地方
習慣健身是 怕庭外遭毆嗎
飲料偷喝 無罪推定
旁聽李茂生教授
構造改革
通緝犯回台灣避武漢肺炎
難置信 Netflix
Yoyo好文 江鎬佑｜完全合法做愛指南- 法律白話文運動
推薦 海豚刑警 安平之光",
EP27,我不是我的我,"視網膜廣播消遣台通 Diss back
沒有主題的聊天
自帶流量的人做podcast反而是增加聽眾量
業配錄音器材
智慧電錶 
認識台灣  李登輝去世 去中化 台灣國族意識 
偷錢
租漫畫被老師討厭
父母會跟自己很像  最後個性會越來越像父母
李眉蓁 被罵 抄襲論文
理解 家長玩手遊 皇室戰爭 變公會會長為了是跟小孩溝通
小孩覺得重要的事情 大人覺得不重要 
沒人是準備好才當爸媽的
三小湯 惡童
https://youtu.be/d9Y4UbtWWAI
Pink Floyd - Comfortably Numb - pulse concert performance 1994

電影 今敏 藍色恐懼 
李登輝 我不是我的我        
股癌到蛇窩",
EP28,截稿後才發現藍色的貓更令人恐懼,"CS GO 貼紙 Skin價格  十萬美金的skin
想不勞而獲賭博 skin
何ㄟ凹倫倫送他cypberfunk2077 第一次出現貪婪的何ㄟ
警察好友在廢物手遊課金
阿倫課金少女前線
手遊 關羽蛋
女友玩手遊 想課金 皇室戰爭玩一下就放棄 被笑說貶低女性
何ㄟ是今敏鐵粉 
聊 電影 藍色恐懼
稍微提蛇丸畢業了？
諾蘭 真的很不會拍打戲 
哆拉AV夢
流行語「像極了愛情」 「國家也是一樣的」「的大棒棒」 已經過氣 滑倒行笑點
以前什麼比較好只是沒發現而已 討厭那種只會吹舊時代多好
倫：孫燕姿的快歌都很糞 ；倫最喜歡逃亡；逞誠最喜歡愛情證書
不相信愛蕭敬騰的歌 會喜歡台通
倫倫念林俊傑歌詞
隨堂測驗 是倫以性命擔保 最難聽
49:21 弘哥 超級燕姿迷

逞誠強推國片《南國再見，南國》侯孝賢  性命擔保
推薦歌曲 自我毀滅、 愛情研究院",
EP29,童年禪修大全,"喜歡偷聽別人講話 高鐵聽到男生說謊
隔壁大嬸拍其他客人點的菜 逞誠與大嬸對決輸了
大嬸無理理論 舉例生產 ，一個瞬間失去了羞恥心，不怕了任何事情
不要惹女人
逞誠跟偉偉打輸了會拔線 倫倫不玩競技遊戲
倫爸有買紅白機 但不給打遊戲
誠家裡很多台電視 恐怖節目 小學很紅靈異照片
烤肉時間到被直接抓回家
跟誠爸學開車 叭電線桿 被逞誠爸騙
逞誠爸放鞭炮被阿祖罵
情侶在摸的地下道扶手很髒
倫爸想一想就好
大型機台店

閱讀 孩子的教育 小百科
瑪利歐賽車 真人快打
誠爸教開車 只有握有方向盤的人才知道要去哪裡",
EP30,毋號做，嘛無減伊芬芳。feat. MC JJ,"說明  跟劇團的關係
嘴甜 面笑 腰軟（懂得道歉）骨力走（勤快）
阮劇團為什麼是好劇團  跟在地的牽連很深
 夢想  可以讓高鐵加開班次
 葬禮 想做收藏書籍拍賣
化成灰燼
覺得改裝輪椅是個商機
改裝車音樂放很大聲 窗戶要放下來 不然耳朵會受不了 
蔡小雨去香港 
只有壞掉的牛 沒有耕壞的田
語言平權  好屌 
覽趴is趴覽 is the same
他媽的 班長（任意穿插）排長（複數使用）連長級（重點特多）
幹 短時間大音量 攜帶很方便
談 宗教放生
職涯末期 要開始培養興趣
單身就是人生的小撇步    人生的節奏
 好友加到5000 為拓展同溫層  
因政治有得利者 可以攻擊跟檢視他 單純支持者 是觀察他幫助他
推測五千年後 英文也會用 嘿 來應答
全部的語言都有 蛤
 效仿吳念真 翻譯
作用力與反作用力的理論 打手槍
知識是拿來貢獻 不是來掠奪
仲夏夜之夢 是沙士比亞最平易近人喜劇
毋號做，嘛無減伊芬芳 = 覽趴趴覽攏修詳
不分享其實就是掠奪
通俗是種功力",
